Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2822,09/04/2015,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,"2,00,000",
2823,09/04/2015,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"20,00,000",
2824,09/04/2015,Changer Mints,Digital / Mobile Wallet,,Kolkata,Hyderabad based investor,Seed Funding,"1,65,000",
2825,09/04/2015,Urban Ladder,Online Furnishing\\neCommerce,,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"5,00,00,000",Series C
2826,09/04/2015,Purple Squirrel,Ed-Tech,,Mumbai,"Matrix Partners India, India Quotient",Private Equity,,Series B
2827,10/04/2015,Whatfix,Interactive\\xc2\\xa0 How-To Guides,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"9,00,000",
2828,10/04/2015,iMMi Life,Mobile Health Tech,,Chennai,Unitus Seed Fund,Seed Funding,,
2829,11/04/2015,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,"2,50,00,000",Late Stage
2830,13/04/2015,ZopNow,Online Grocer,,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"1,00,00,000",Series B
2831,13/04/2015,Nayi Disha,Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,"3,00,000",
2832,13/04.2015,The Porter,Logistics Tech,,Mumbai,Kae Capital,Seed Funding,"5,00,000",
2833,13/04/2015,Commeasure,Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,"10,00,000",
2834,13/04/2015,Capricoast,Online Kitchen Furniture,,Bangalore,Accel Partners India,Seed Funding,"12,50,000",
2835,14/04/2015,LocalOye,Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"50,00,000",Series A
2836,15/04/2015,Grofers,Hyper-Local Online/Mobile Grocery,,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"3,50,00,000",Series B
2837,15/04/2015,PepperTap,Hyper-Local Online/Mobile Grocery,,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"1,00,00,000",Series A
2838,15/04/2015,PolicyBazaar,Online Policy Aggregator,,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"4,00,00,000",Series D
2839,16/04/2015,UrbanClap,Hyperlocal Mobile Services Marketplace,,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"16,00,000",
2840,16/04/2015,Taskbob,OnDemand\\nMobile Handyman Services,,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"12,00,000",
2841,17/04/2015,Robosoft,Mobile App Development,,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"1,20,00,000",Series B
2842,18/04/2015,Doormint,On-Demand Handyman Services,,Mumbai,Powai Lake Ventures,Seed Funding,,
2843,20/04/2015,Vyomo,Beauty & Wellness Mobile App,,Gurgaon,YouWeCan Ventures,Seed Funding,,
2844,20/04/2015,Pastiwala,Material Collection & Recycling,,Vadodara,Agnus Capital,Private Equity,"40,00,000",Series A
2845,20/04/2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"60,00,000",Series A
2846,20/04/2015,Freshdesk,Online / Mobile Customer Support,,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"5,00,00,000",Series E
2847,20/04/2015,Sulekha.com,Online Classifieds & Listings,,Chennai,GIC ventures,Private Equity,"2,80,00,000",Series C
2848,22/04/2015,FindYahan,Hyperlocal services marketplace,,New Delhi,The Phoenix Fund,Private Equity,,Series A
2849,22/04/2015,Eat.Shop.Love,Fashion ECommerce,,Bangalore,Undisclosed Investor,Private Equity,"35,00,000",Series A
2850,22/04/2015,Avanti Learning,Private Coaching Centers,,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"15,00,000",Series A
